# CREATED BY GENE DIAGNOSTICS TOOL on Mon Feb 21 16:43:42 2022
# diag: nrgsummary, run(s): 1-dat, time window: 0-1760.9161(1 steps), species: i
# original data path: /marconi_scratch/userexternal/pmulholl/p02/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  1.8959E+02  1.4001E-01  2.8049E+00 -1.1355E-02
  1.9049E+02  1.3840E-01  2.7919E+00 -1.2361E-02
  1.9140E+02  1.3868E-01  2.7800E+00 -1.5606E-02
  1.9230E+02  1.3922E-01  2.7773E+00 -1.7896E-02
  1.9320E+02  1.3914E-01  2.7819E+00 -1.8409E-02
  1.9411E+02  1.3758E-01  2.7916E+00 -1.8083E-02
  1.9501E+02  1.3592E-01  2.7993E+00 -1.8193E-02
  1.9591E+02  1.3475E-01  2.8103E+00 -1.7239E-02
  1.9681E+02  1.3490E-01  2.8288E+00 -1.6577E-02
  1.9772E+02  1.3577E-01  2.8446E+00 -1.5308E-02
  1.9862E+02  1.3857E-01  2.8627E+00 -1.2919E-02
  1.9952E+02  1.4094E-01  2.8831E+00 -1.0515E-02
  2.0043E+02  1.4346E-01  2.9040E+00 -8.1612E-03
  2.0133E+02  1.4488E-01  2.9270E+00 -7.6759E-03
  2.0223E+02  1.4539E-01  2.9476E+00 -1.0909E-02
  2.0314E+02  1.4516E-01  2.9703E+00 -1.2721E-02
  2.0401E+02  1.4749E-01  2.9949E+00 -1.3527E-02
  2.0490E+02  1.4865E-01  3.0138E+00 -1.5702E-02
  2.0579E+02  1.4867E-01  3.0327E+00 -1.7549E-02
  2.0668E+02  1.4739E-01  3.0550E+00 -1.9486E-02
  2.0758E+02  1.4532E-01  3.0819E+00 -1.9060E-02
  2.0847E+02  1.4416E-01  3.1054E+00 -1.7570E-02
  2.0936E+02  1.4527E-01  3.1208E+00 -1.7906E-02
  2.1025E+02  1.4695E-01  3.1278E+00 -1.9219E-02
  2.1114E+02  1.4824E-01  3.1328E+00 -2.0254E-02
  2.1203E+02  1.5100E-01  3.1335E+00 -2.1275E-02
  2.1292E+02  1.5271E-01  3.1285E+00 -2.2360E-02
  2.1381E+02  1.5284E-01  3.1197E+00 -2.0966E-02
  2.1470E+02  1.5333E-01  3.1096E+00 -1.7657E-02
  2.1559E+02  1.5467E-01  3.1045E+00 -1.4775E-02
  2.1649E+02  1.5374E-01  3.1065E+00 -1.3448E-02
  2.1738E+02  1.5313E-01  3.1114E+00 -1.2868E-02
  2.1827E+02  1.5413E-01  3.1161E+00 -1.2876E-02
  2.1916E+02  1.5450E-01  3.1177E+00 -1.2721E-02
  2.2005E+02  1.5406E-01  3.1093E+00 -1.3949E-02
  2.2094E+02  1.5288E-01  3.0946E+00 -1.4076E-02
  2.2183E+02  1.4946E-01  3.0747E+00 -1.1237E-02
  2.2272E+02  1.4779E-01  3.0535E+00 -7.3089E-03
  2.2361E+02  1.4745E-01  3.0334E+00 -3.6804E-03
  2.2450E+02  1.4725E-01  3.0242E+00 -4.8086E-03
  2.2540E+02  1.4689E-01  3.0227E+00 -6.6591E-03
  2.2629E+02  1.4722E-01  3.0272E+00 -7.7351E-03
  2.2718E+02  1.4685E-01  3.0362E+00 -7.4409E-03
  2.2807E+02  1.4588E-01  3.0529E+00 -7.9000E-03
  2.2896E+02  1.4635E-01  3.0766E+00 -9.1934E-03
  2.2985E+02  1.4733E-01  3.0982E+00 -8.9110E-03
  2.3074E+02  1.4761E-01  3.1213E+00 -6.5063E-03
  2.3163E+02  1.4792E-01  3.1402E+00 -4.6470E-03
  2.3252E+02  1.4880E-01  3.1497E+00 -5.6964E-04
  2.3341E+02  1.5027E-01  3.1532E+00  2.7420E-03
  2.3431E+02  1.5111E-01  3.1569E+00  4.9082E-03
  2.3520E+02  1.4911E-01  3.1573E+00  6.9962E-03
  2.3609E+02  1.4798E-01  3.1547E+00  8.8029E-03
  2.3698E+02  1.4578E-01  3.1497E+00  9.1854E-03
  2.3787E+02  1.4626E-01  3.1409E+00  9.6848E-03
  2.3876E+02  1.4704E-01  3.1357E+00  1.4639E-02
  2.3965E+02  1.4777E-01  3.1394E+00  2.0855E-02
  2.4054E+02  1.4797E-01  3.1468E+00  2.3196E-02
  2.4143E+02  1.4861E-01  3.1636E+00  2.3642E-02
  2.4233E+02  1.5218E-01  3.1837E+00  2.5738E-02
  2.4322E+02  1.5468E-01  3.2056E+00  2.7154E-02
  2.4411E+02  1.5510E-01  3.2192E+00  2.6974E-02
  2.4500E+02  1.5531E-01  3.2189E+00  2.3433E-02
  2.4589E+02  1.5461E-01  3.2125E+00  2.0698E-02
  2.4678E+02  1.5257E-01  3.2153E+00  1.9421E-02
  2.4767E+02  1.5301E-01  3.2269E+00  1.5855E-02
  2.4856E+02  1.5422E-01  3.2417E+00  1.2197E-02
  2.4945E+02  1.5233E-01  3.2634E+00  1.0235E-02
  2.5034E+02  1.5054E-01  3.2849E+00  8.2035E-03
  2.5124E+02  1.4949E-01  3.3028E+00  6.5526E-03
  2.5213E+02  1.5038E-01  3.3208E+00  6.6707E-03
  2.5302E+02  1.5074E-01  3.3417E+00  5.3388E-03
  2.5391E+02  1.5119E-01  3.3659E+00  4.1142E-03
  2.5480E+02  1.5131E-01  3.3833E+00  3.4970E-03
  2.5569E+02  1.5347E-01  3.3949E+00  5.9358E-03
  2.5658E+02  1.5443E-01  3.4010E+00  9.7121E-03
  2.5747E+02  1.5388E-01  3.4075E+00  1.5184E-02
  2.5836E+02  1.5362E-01  3.4188E+00  1.8024E-02
  2.5925E+02  1.5321E-01  3.4364E+00  1.9016E-02
  2.6015E+02  1.5442E-01  3.4577E+00  1.8254E-02
  2.6104E+02  1.5637E-01  3.4803E+00  1.9190E-02
  2.6193E+02  1.5845E-01  3.5099E+00  2.0860E-02
  2.6282E+02  1.5984E-01  3.5409E+00  2.0306E-02
  2.6371E+02  1.6203E-01  3.5593E+00  1.6786E-02
  2.6460E+02  1.6289E-01  3.5696E+00  1.0729E-02
  2.6549E+02  1.6409E-01  3.5716E+00  3.3704E-03
